Fertility,Magma_Series,Al,As,Au,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Sb,Si,Te,Ti,V,W,Y,Zn
1,CA,10900,463,0.14,37800,29.5,760,44.6,31000,3800,47400,681,800,382,20,8.3,700,9.71,,0.08,270,46,2.2,1.5,73
1,CA,38100,145.5,0.046,39800,89.4,1830,25.4,82500,2100,117000,1480,4600,952,40,3.6,900,7.84,,0,850,146,3.7,2,158
1,CA,25800,395,0.365,30200,76.6,1460,22.1,66700,6000,113000,972,1100,950,110,4.4,9500,2.35,,0.28,960,111,3.7,2.6,107
1,CA,28000,10,0.045,30600,86.9,1570,47.1,67000,7500,123000,1120,1000,1320,50,1.1,5700,2.91,,0.07,1050,112,4,2.3,77
1,CA,25000,513,0.02,38400,57.7,1220,8.2,55200,8800,121000,958,1500,798,20,0.8,800,5.74,,0.05,1020,94,7.2,2.2,50
1,CA,26900,23.5,0.047,34800,86.6,1850,35.9,64000,300,114000,1140,1600,1530,60,1.1,2900,18.85,,0,1090,106,4.1,2.3,64
1,CA,23000,1080,0.281,31200,66.8,1380,16.8,54300,10400,114500,905,1200,978,10,0.9,4400,11.95,,0.3,1000,91,4.9,2,38
1,CA,17300,51.8,0.219,150500,55.5,777,40.4,40000,100,84500,4030,200,635,60,16,300,1.76,,0,1020,71,2.3,7.7,90
1,CA,19700,506,0.107,36400,52.9,1020,20.7,49600,7300,104000,907,900,874,10,1.2,2300,11.4,,0.09,790,79,6.3,1.8,31
1,CA,27400,489,0.117,38200,66.8,1300,38.5,58100,9800,100000,1080,1600,1040,30,2.2,2400,22.5,,0,1240,112,6.9,2.4,43
1,CA,25500,32,0.012,69900,60.9,1080,18,62100,100,97700,1230,100,911,40,2.2,0,1.79,,0,410,95,1.5,2.8,51
1,CA,28300,630,0.028,57000,68.6,1140,26.3,60500,11400,121000,1140,1200,1015,30,1.9,2800,13.35,,0.05,1210,100,6.7,2.5,40
1,CA,74400,22.4,0.012,30200,24.7,113,37.4,47100,9400,30300,758,28300,143.5,530,3.9,0,0.34,,0,3860,127,0.3,15.7,109
1,CA,56700,51.9,0.014,58000,45.5,8,66.4,77900,500,20200,2380,20200,118.5,600,8.9,3200,41.5,,0,8240,348,1.9,10.8,227
1,CA,66000,42.8,0.004,30800,46.7,8,69.5,131500,300,27100,2640,12900,51.4,600,0.7,200,1.82,,0,7400,431,1.7,9.4,149
1,CA,65100,178.5,0.005,48200,42.1,10,80.4,86900,3500,16600,2760,29000,139.5,600,1.3,1400,1.99,,0,7410,407,3.6,10.2,95
1,CA,22600,118,0.04,104000,55.2,1250,59.3,45800,0,93100,1640,200,946,0,1.1,200,9.2,,0,730,96,2,3.9,50
1,CA,20800,26.1,0.003,33900,74.3,1300,6.8,52700,0,118500,923,100,1335,20,0,0,11.65,,0,740,90,1.4,1.2,43
1,CA,22700,60.4,0.017,40900,70,1400,33,52300,0,122500,909,100,1130,40,2.8,300,2.27,,0,810,89,1.5,1.7,47
